0 0 0 0 0 0  0 0 0 100 1
2 -14.9632 -25.6299 -2.5314 0 0  0 0 0 78.2283 0
1 0 0 0 0 0  0 0 0 12.5856 0
0 0 0 0 0 0  0 0 0 100 1
2 -15.1821 -25.2759 -3.5155 0 0  0 0 0 78.0414 0
1 0 0 0 0 0  0 0 0 12.5503 0
0 0 0 0 0 0  0 0 0 100 1
2 -14.8976 -25.4557 -2.89801 0 0  0 0 0 78.2688 0
1 0 0 0 0 0  0 0 0 12.5929 0
0 0 0 0 0 0  0 0 0 100 1
2 -16.9793 -10.2929 0 0 0  0 0 0 65.5591 0
1 0 0 0 0 0  0 0 0 25.187 0
0 0 0 0 0 0  0 0 0 100 1
2 -16.244 -15.3652 0 0 0  0 0 0 69.3723 0
1 0 0 0 0 0  0 0 0 20.9986 0
0 0 0 0 0 0  0 0 0 100 1
2 -16.8814 -10.9678 0 0 0  0 0 0 65.4676 0
1 0 0 0 0 0  0 0 0 25.1468 0
0 0 0 0 0 0  0 0 0 100 1
2 -16.2975 -15.7172 0 0 0  0 0 0 70.5742 0
1 0 0 0 0 0  0 0 0 20.1568 0
0 0 0 0 0 0  0 0 0 100 1
2 -16.0371 -20.3418 0 0 0  0 0 0 72.7513 0
1 0 0 0 0 0  0 0 0 17.901 0
0 0 0 0 0 0  0 0 0 100 1
2 -15.7902 -23.6198 -0.584348 0 0  0 0 0 75.5623 0
1 0 0 0 0 0  0 0 0 15.2455 0
0 0 0 0 0 0  0 0 0 100 1
2 -14.5747 -24.4436 -12.1965 0 0  0 0 0 84.422 0
1 0 0 0 0 0  -10.5418 3.36263 -369.56 6.34408 0
0 0 0 0 0 0  0 0 0 100 1
2 -14.3609 -24.798 -12.3304 0 0  0 0 0 84.51 0
1 0 0 0 0 0  -10.5511 3.34431 -369.835 6.35173 0
0 0 0 0 0 0  0 0 0 100 1
2 -15.7825 -23.201 -0.441128 0 0  0 0 0 75.2388 0
1 0 0 0 0 0  0 0 0 15.6315 0
0 0 0 0 0 0  0 0 0 100 1
2 0 0 0 0 0  0 0 0 87.62 1
1 0 0 0 0 0  0 0 0 3.24411 0
0 0 0 0 0 0  0 0 0 100 1
2 -15.3204 -24.7984 -1.71387 0 0  0 0 0 76.4964 0
1 0 0 0 0 0  0 0 0 14.0373 1
0 0 0 0 0 0  0 0 0 100 1
2 -15.7754 -23.0033 -0.284969 0 0  0 0 0 75.0288 0
1 0 0 0 0 0  0 0 0 15.5817 0
0 0 0 0 0 0  0 0 0 100 1
2 -15.4368 -23.5036 -0.530336 0 0  0 0 0 75.3801 0
1 0 0 0 0 0  0 0 0 15.4941 0
0 0 0 0 0 0  0 0 0 100 1
2 -16.2778 -18.65 0 0 0  0 0 0 71.148 0
1 0 0 0 0 0  0 0 0 19.4352 0
0 0 0 0 0 0  0 0 0 100 1
2 -17.4728 -6.69136 0 0 0  0 0 0 63.3264 0
