============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ne(100 MeV) ==> Carbon Tetrafluoride (IC(  400 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1 10 .3067332E+08   4000000E+03 -.2031E+08 -.3423E+08   .9998037 -.0179797 -.0083216
T    2 10 .3053681E+08   4000000E+03 -.5958E+07 -.1398E+08   .9998459 -.0117107 -.0130772
T    3 10 .3081872E+08   4000000E+03 -.1836E+08 -.1391E+08   .9999494 -.0074386  .0067786
T    4 10 .3037940E+08   4000000E+03 -.5343E+08  .3343E+08   .9995681 -.0274486  .0104997
T    5 10 .3059834E+08   4000000E+03  .1566E+08  .5315E+08   .9997509 -.0052684  .0216895
T    6 10 .3055303E+08   4000000E+03 -.1958E+08  .6336E+08   .9997822 -.0031417  .0206325
T    7 10 .3070429E+08   4000000E+03  .2063E+08  .4886E+07   .9998269  .0108629  .0151073
T    8 10 .3043594E+08   4000000E+03  .2349E+08  .3480E+08   .9998148  .0038285  .0188600
T    9 10 .3044508E+08   4000000E+03  .1480E+08  .7506E+08   .9995161  .0039321  .0308546
T   10 10 .3047795E+08   4000000E+03 -.2867E+07 -.2187E+08   .9999401  .0026133 -.0106286
T   11 10 .3051178E+08   4000000E+03  .3084E+08  .3295E+08   .9999206  .0048175  .0116431
T   12 10 .3094859E+08   4000000E+03 -.1519E+08  .1625E+08   .9999490 -.0023450  .0098207
T   13 10 .2989880E+08   4000000E+03 -.8692E+07 -.2498E+08   .9999613  .0018360 -.0086067
T   14 10 .3074626E+08   4000000E+03  .6452E+07  .1335E+08   .9996185  .0213353  .0175414
T   15 10 .3114038E+08   4000000E+03  .2757E+07  .2138E+08   .9998519  .0057826 -.0162062
T   16 10 .3021847E+08   4000000E+03  .9827E+06 -.4256E+07   .9999565  .0018177  .0091456
T   17 10 .3098708E+08   4000000E+03 -.4595E+08  .3324E+08   .9995529 -.0073753  .0289746
T   18 10 .3110955E+08   4000000E+03 -.1518E+08  .2984E+08   .9999954 -.0016145  .0025769
T   19 10 .3043351E+08   4000000E+03 -.3822E+07 -.2413E+08   .9999359  .0099693 -.0053740
T   20 10 .3018263E+08   4000000E+03 -.2282E+08  .4898E+07   .9999343 -.0112946 -.0019582
T   21 10 .3047640E+08   4000000E+03 -.1117E+08  .3227E+08   .9994054 -.0151005  .0309981
T   22 10 .3045525E+08   4000000E+03 -.1344E+07  .1084E+08   .9998565  .0089325  .0143922
T   23 10 .3098416E+08   4000000E+03  .8814E+07 -.1602E+08   .9996953  .0149626 -.0196333
T   24 10 .3058043E+08   4000000E+03  .1770E+08  .3691E+08   .9997774  .0077620  .0196196
T   25 10 .3039789E+08   4000000E+03  .2736E+08 -.1695E+08   .9998651  .0083774  .0141292
T   26 10 .3008984E+08   4000000E+03 -.3088E+08  .1854E+08   .9999154 -.0023140  .0128007
T   27 10 .3010245E+08   4000000E+03  .1284E+08 -.1619E+08   .9999227  .0116474 -.0043600
T   28 10 .3059591E+08   4000000E+03  .2054E+08 -.3517E+08   .9993117  .0077000 -.0362876
T   29 10 .3088767E+08   4000000E+03 -.3646E+08 -.9841E+07   .9999183 -.0127506  .0008607
T   30 10 .3084996E+08   4000000E+03 -.6356E+07  .4602E+06   .9999760  .0062859  .0029212
T   31 10 .3029484E+08   4000000E+03  .1966E+08 -.6779E+08   .9997144  .0066117 -.0229669
T   32 10 .3065909E+08   4000000E+03 -.1963E+08 -.7323E+07   .9999998 -.0004187  .0004547
T   33 10 .3068170E+08   4000000E+03 -.1007E+08  .3897E+08   .9997971 -.0065944  .0190327
T   34 10 .3075300E+08   4000000E+03 -.2717E+08 -.2135E+08   .9995165 -.0224453 -.0215173
T   35 10 .3066166E+08   4000000E+03  .1228E+08 -.4054E+07   .9999727  .0073844  .0002069
T   36 10 .3103630E+08   4000000E+03  .5455E+07 -.1180E+07   .9999785 -.0009310 -.0064931
T   37 10 .3077521E+08   4000000E+03  .3133E+08 -.5991E+07   .9998408  .0178100 -.0010908
T   38 10 .3029909E+08   4000000E+03  .5299E+07  .1339E+08   .9998537  .0040141  .0166269
T   39 10 .3127123E+08   4000000E+03 -.2841E+07 -.8925E+07   .9999245  .0049161 -.0112592
T   40 10 .3040745E+08   4000000E+03 -.2807E+08 -.1374E+08   .9990873 -.0242873 -.0351391
T   41 10 .3116299E+08   4000000E+03 -.1938E+08  .7323E+07   .9999740  .0004193 -.0072019
T   42 10 .3069293E+08   4000000E+03  .3554E+08  .2378E+07   .9995088  .0311259  .0036392
T   43 10 .3015754E+08   4000000E+03  .1842E+08 -.4317E+07   .9999007  .0106014  .0092852
T   44 10 .3072504E+08   4000000E+03  .1830E+08  .1381E+08   .9995355  .0304048  .0020765
T   45 10 .3010650E+08   4000000E+03 -.3270E+07 -.1413E+08   .9997226  .0065083 -.0226358
T   46 10 .3037764E+08   4000000E+03 -.9280E+06  .1614E+08   .9999885  .0035484  .0032303
T   47 10 .3159948E+08   4000000E+03 -.3013E+07  .4337E+08   .9997218 -.0225117 -.0070406
T   48 10 .3077115E+08   4000000E+03  .9868E+07 -.4628E+07   .9999724 -.0047962  .0056768
T   49 10 .3118065E+08   4000000E+03  .1315E+07  .1962E+08   .9996588  .0092386  .0244333
T   50 10 .3051114E+08   4000000E+03  .1884E+08  .2473E+07   .9999227  .0054983  .0111545
T   51 10 .2999470E+08   4000000E+03  .3191E+08 -.3916E+08   .9997840  .0185138 -.0094491
T   52 10 .3056942E+08   4000000E+03  .8452E+07 -.6836E+07   .9997646  .0213587 -.0038145
T   53 10 .3063147E+08   4000000E+03 -.3129E+08 -.1184E+08   .9998396 -.0159803 -.0080839
T   54 10 .3106571E+08   4000000E+03  .3749E+08 -.1222E+07   .9999999 -.0002174 -.0004292
T   55 10 .3101208E+08   4000000E+03  .7184E+07  .8398E+07   .9999556  .0085214 -.0040204
T   56 10 .3028030E+08   4000000E+03 -.1243E+08 -.2225E+08   .9995988  .0029903 -.0281651
T   57 10 .3014019E+08   4000000E+03  .1053E+08 -.7980E+07   .9999299  .0107899 -.0048771
T   58 10 .3061412E+08   4000000E+03 -.2298E+08  .7558E+07   .9999158 -.0046728  .0121032
T   59 10 .3043510E+08   4000000E+03 -.1119E+07  .1360E+08   .9999980 -.0019448 -.0005625
T   60 10 .2983614E+08   4000000E+03 -.1661E+08 -.1038E+08   .9971275 -.0409146 -.0637403
T   61 10 .3019733E+08   4000000E+03 -.5581E+08  .4062E+07   .9996822 -.0237578 -.0084264
T   62 10 .3016058E+08   4000000E+03 -.1214E+08 -.6862E+07   .9999020 -.0060871 -.0126074
T   63 10 .3141473E+08   4000000E+03  .1260E+08  .5848E+07   .9999339  .0004325  .0114922
T   64 10 .3016259E+08   4000000E+03  .5558E+08 -.7598E+08   .9994250  .0304182 -.0149779
T   65 10 .3074650E+08   4000000E+03 -.1984E+07 -.9663E+07   .9998487  .0056650 -.0164456
T   66 10 .3046044E+08   4000000E+03 -.8886E+07 -.5714E+08   .9997479 -.0081664 -.0209142
T   67 10 .3077247E+08   4000000E+03 -.1400E+08 -.3119E+08   .9996958 -.0135649 -.0205968
T   68 10 .3052965E+08   4000000E+03  .5203E+08  .1252E+08   .9998310  .0133777 -.0126129
T   69 10 .3021621E+08   4000000E+03  .7373E+07 -.3679E+08   .9961433 -.0726633 -.0491785
T   70 10 .3050986E+08   4000000E+03  .2658E+08  .3097E+08   .9998432  .0069998  .0162687
T   71 10 .3067191E+08   4000000E+03 -.1304E+09  .1209E+09   .9985320 -.0399015  .0366286
T   72 10 .3087535E+08   4000000E+03  .1754E+08  .2181E+08   .9996583  .0247609  .0083830
T   73 10 .3057728E+08   4000000E+03  .1903E+08  .3890E+08   .9999069  .0097989  .0094918
T   74 10 .3054595E+08   4000000E+03  .1583E+08 -.2913E+08   .9998386  .0008539 -.0179435
T   75 10 .3079087E+08   4000000E+03 -.1368E+08  .9581E+07   .9999193 -.0121256 -.0038026
